id,visitor,home,visRuns,visHits,visErrors,homeRuns,homeHits,homeErrors,winTeam,loseTeam
97,chi,ind,,,,,,,,
98,ind,chi,,,,,,,,
99,chi,ind,,,,,,,,
100,rus,jap,,,,,,,,
101,jap,rus,,,,,,,,
102,rus,jap,,,,,,,,
103,aus,nze,,,,,,,,
104,nze,aus,,,,,,,,
105,aus,nze,,,,,,,,
106,mel,pol,,,,,,,,
107,pol,mel,,,,,,,,
108,mel,pol,,,,,,,,
109,aus,mic,,,,,,,,
110,mic,aus,,,,,,,,
111,aus,mic,,,,,,,,
112,nze,mel,,,,,,,,
113,mel,nze,,,,,,,,
114,nze,mel,,,,,,,,
115,mic,pol,,,,,,,,
116,pol,mic,,,,,,,,
117,mic,pol,,,,,,,,
118,chi,uae,,,,,,,,
119,uae,chi,,,,,,,,
120,chi,uae,,,,,,,,
121,ind,rus,,,,,,,,
122,rus,ind,,,,,,,,
123,ind,rus,,,,,,,,
124,uae,jap,,,,,,,,
125,jap,uae,,,,,,,,
126,uae,jap,,,,,,,,
127,bra,per,,,,,,,,
128,per,bra,,,,,,,,
129,bra,per,,,,,,,,
130,col,arg,,,,,,,,
131,arg,col,,,,,,,,
132,col,arg,,,,,,,,
133,per,ven,,,,,,,,
134,ven,per,,,,,,,,
135,per,ven,,,,,,,,
136,arg,bra,,,,,,,,
137,bra,arg,,,,,,,,
138,arg,bra,,,,,,,,
139,ven,col,,,,,,,,
140,col,ven,,,,,,,,
141,ven,col,,,,,,,,
142,rus,chi,,,,,,,,
143,chi,rus,,,,,,,,
144,rus,chi,,,,,,,,
145,jap,ind,,,,,,,,
146,ind,jap,,,,,,,,
147,jap,ind,,,,,,,,
148,mel,aus,,,,,,,,
149,aus,mel,,,,,,,,
150,mel,aus,,,,,,,,
151,pol,nze,,,,,,,,
152,nze,pol,,,,,,,,
153,pol,nze,,,,,,,,
154,mic,mel,,,,,,,,
155,mel,mic,,,,,,,,
156,mic,mel,,,,,,,,
157,pol,aus,,,,,,,,
158,aus,pol,,,,,,,,
159,pol,aus,,,,,,,,
160,nze,mic,,,,,,,,
161,mic,nze,,,,,,,,
162,nze,mic,,,,,,,,
163,uae,rus,,,,,,,,
164,rus,uae,,,,,,,,
165,uae,rus,,,,,,,,
166,jap,chi,,,,,,,,
167,chi,jap,,,,,,,,
168,jap,chi,,,,,,,,
169,ind,uae,,,,,,,,
170,uae,ind,,,,,,,,
171,ind,uae,,,,,,,,
172,per,arg,,,,,,,,
173,arg,per,,,,,,,,
174,per,arg,,,,,,,,
175,ven,bra,,,,,,,,
176,bra,ven,,,,,,,,
177,ven,bra,,,,,,,,
178,col,per,,,,,,,,
179,per,col,,,,,,,,
180,col,per,,,,,,,,
